date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2023-12-14,1101.TW,2023,Q4,34.5,34.55,34.1,34.4,34.4,10784685,10784685,-0.1,-0.28986,34.35,"December 14, 23",-0.0028986,35.885714285714286,35.65781627052226,35.42802089215132,33.86914741929487,33.56286281943893,-65.73033707865171,58.92914718590273,11.731239961427352,2.097261604051259
2023-12-13,1101.TW,2023,Q4,34.15,34.2,34.05,34.05,34.05,8812839,8812839,-0.1,-0.29283,34.1,"December 13, 23",-0.0029283,35.88234126984126,35.667838710924826,35.43973900495638,33.87493995865596,33.56198494301865,-69.66292134831465,58.717715785192475,11.740536661643151,2.10032964027569
2023-12-12,1101.TW,2023,Q4,34.4,34.4,34.1,34.15,34.15,8902876,8902876,-0.25,-0.72674,34.22,"December 12, 23",-0.0072674,35.8781746031746,35.680729856031796,35.454190978104045,33.88643620303509,33.569592621206695,-68.53932584269666,58.80386409628361,11.751492119428276,2.104996852085892
2023-12-11,1101.TW,2023,Q4,34.6,34.65,34.2,34.4,34.4,7542239,7542239,-0.2,-0.57803,34.42,"December 11, 23",-0.0057803,35.875793650793646,35.69292690667747,35.46783361565971,33.89653314374479,33.57506480192601,-65.73033707865171,59.01948268697004,11.762213458472102,2.1072883174017987
2023-12-08,1101.TW,2023,Q4,34.7,34.85,34.6,34.6,34.6,12321862,12321862,-0.1,-0.28818,34.68,"December 08, 23",-0.0028818,35.87103174603175,35.703229113105174,35.47946232511449,33.90282366207484,33.57478213142677,-63.48314606741573,59.19242834483377,11.772423124138218,2.111968475205544
2023-12-07,1101.TW,2023,Q4,34.6,34.75,34.4,34.5,34.5,7285840,7285840,-0.1,-0.28902,34.55,"December 07, 23",-0.0028902,35.86349206349207,35.71201978332912,35.489450404667785,33.90605914235516,33.569848545025266,-64.60674157303372,59.13278905701575,11.780450596185757,2.119869274743259
2023-12-06,1101.TW,2023,Q4,34.95,35.05,34.6,34.6,34.6,11672242,11672242,-0.35,-1.0,34.75,"December 06, 23",-0.01,35.8561507936508,35.721677311483134,35.50017096430139,33.91098407403392,33.56736191132573,-63.48314606741573,59.21899275442373,11.788968055016905,2.127767074492182
2023-12-05,1101.TW,2023,Q4,34.0,34.9,34.0,34.9,34.9,24204590,24204590,0.9,2.65,34.6,"December 05, 23",0.0265,35.849206349206355,35.730614979303716,35.510046113307,33.91443157511374,33.56258122046394,-60.11235955056182,59.47808172118108,11.796408113074358,2.1346999354857474
2023-12-04,1101.TW,2023,Q4,34.5,34.55,34.05,34.05,34.05,23713712,23713712,-0.45,-1.3,34.22,"December 04, 23",-0.013,35.84285714285715,35.73723342535394,35.51749952945605,33.91319688630431,33.55068980831161,-69.66292134831465,58.971506048364255,11.804561169470805,2.1398868302455867
2023-12-01,1101.TW,2023,Q4,34.6,34.75,34.3,34.4,34.4,35044896,35044896,-0.2,-0.57803,34.48,"December 01, 23",-0.0057803,35.843650793650795,35.75067751639262,35.531678587113376,33.92555091269203,33.55906526743487,-65.73033707865171,59.27542044685151,11.814344976738314,2.1392587364662075
2023-11-30,1101.TW,2023,Q4,34.3,35.3,34.3,34.95,34.95,106208572,106208572,0.65,1.9,34.85,"November 30, 23",0.019,35.837698412698415,35.76143988704116,35.54304379195683,33.93253281252537,33.55934649210832,-59.550561797752785,59.75744471180723,11.822785669966187,2.145345520215471
2023-11-29,1101.TW,2023,Q4,34.6,34.8,34.1,34.25,34.25,27248885,27248885,-0.35,-1.01,34.38,"November 29, 23",-0.0101,35.833333333333336,35.76790554351161,35.55002666415708,33.93089116072909,33.54662393586669,-67.41573033707866,59.3382762737272,11.831259991453933,2.1482643418675638
2023-11-28,1101.TW,2023,Q4,35.0,35.5,34.5,34.5,34.5,65368681,65368681,-0.5,-1.43,34.83,"November 28, 23",-0.0143,35.83293650793651,35.78000040840015,35.56253999623566,33.94044332570312,33.55057151068825,-64.60674157303372,59.5589574353044,11.842047106409343,2.148565991857263
2023-11-27,1101.TW,2023,Q4,33.9,34.35,33.8,33.95,33.95,22048403,22048403,0.05,0.14749,34.03,"November 27, 23",0.0014749,35.823611111111106,35.79019961484158,35.57300332517725,33.94618391322585,33.54874693096548,-70.78651685393257,59.22667890273412,11.850671622627452,2.159403590030924
2023-11-24,1101.TW,2023,Q4,33.95,34.1,33.75,33.75,33.75,20288459,20288459,-0.2,-0.5891,33.87,"November 24, 23",-0.005891,35.81468253968254,35.80486255997976,35.58774389861346,33.9608164512981,33.56018223342789,-73.03370786516855,59.10497882236899,11.86463526559713,2.171748321568321
