date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2023-11-30,1101.TW,2023,Q4,34.3,35.3,34.3,34.95,34.95,106208572,106208572,0.65,1.9,34.85,"November 30, 23",0.019,33.43249999999999,33.61112181091591,33.77428571428572,34.13156451494168,34.644219556649475,-17.74193548387087,63.20729355196429,20.114969170691644,0.6896149287827242
2023-11-29,1101.TW,2023,Q4,34.6,34.8,34.1,34.25,34.25,27248885,27248885,-0.35,-1.01,34.38,"November 29, 23",-0.0101,33.302499999999995,33.470187264696534,33.61738095238096,33.904478865031955,34.384946491650204,-38.46153846153847,58.255350481458024,19.411008395108077,0.6341283387454003
2023-11-28,1101.TW,2023,Q4,35.0,35.5,34.5,34.5,34.5,65368681,65368681,-0.5,-1.43,34.83,"November 28, 23",-0.0143,33.195,33.38810171361196,33.51690476190476,33.78602266816127,34.280695188637445,-28.57142857142857,61.042846520692365,19.02064703382453,0.6465098607136637
2023-11-27,1101.TW,2023,Q4,33.9,34.35,33.8,33.95,33.95,22048403,22048403,0.05,0.14749,34.03,"November 27, 23",0.0014749,33.082499999999996,33.271059788729005,33.381904761904764,33.59382523466371,34.065413038154354,-17.02127659574461,56.714000082298966,18.05968580182627,0.6040022764857769
2023-11-24,1101.TW,2023,Q4,33.95,34.1,33.75,33.75,33.75,20288459,20288459,-0.2,-0.5891,33.87,"November 24, 23",-0.005891,32.985,33.1995923980689,33.29,33.484865763441896,33.9686023077909,-18.367346938775604,54.98608389896189,18.006886379556057,0.6134125854594121
2023-11-23,1101.TW,2023,Q4,33.85,34.05,33.65,34.0,34.0,16829931,16829931,0.15,0.44313,33.9,"November 23, 23",0.0044313,32.89,33.141654755760364,33.20809523809524,33.39901925412724,33.90576656771739,-7.547169811320856,57.72231368874586,18.223116581433437,0.6343500610861486
2023-11-22,1101.TW,2023,Q4,34.05,34.15,33.85,33.85,33.85,15519865,15519865,-0.2,-0.58737,33.95,"November 22, 23",-0.0058737,32.7625,33.051302624787766,33.0902380952381,33.24540599201014,33.74223399693896,-12.50000000000003,56.48812245993611,18.506340388769264,0.6543842525611389
2023-11-21,1101.TW,2023,Q4,33.7,34.2,33.7,34.2,34.2,33354810,33354810,0.5,1.48,34.03,"November 21, 23",0.0148,32.6475,32.96722921687069,32.97571428571428,33.09769110956782,33.58317532470074,0.0,60.39637392518617,18.513961151604555,0.6552623520392427
2023-11-20,1101.TW,2023,Q4,33.2,33.75,33.1,33.6,33.6,12336692,12336692,0.4,1.2,33.48,"November 20, 23",0.012,32.5125,32.83746387127813,32.815,32.851893249192926,33.272448551136456,-6.249999999999945,55.36733509420006,18.52198300722065,0.5970500397789112
2023-11-17,1101.TW,2023,Q4,33.05,33.35,33.0,33.2,33.2,10487720,10487720,0.15,0.45386,33.18,"November 17, 23",0.0045386,32.415,32.75719691036004,32.70214285714285,32.6928782092425,33.078954411305645,-7.499999999999929,51.4638970856005,19.004285065486563,0.5701096385784049
2023-11-16,1101.TW,2023,Q4,33.35,33.35,33.0,33.05,33.05,21299111,21299111,-0.3,-0.89955,33.13,"November 16, 23",-0.0089955,32.3425,32.71058605881899,32.6204761904762,32.59288611656909,32.966220677717054,-15.000000000000213,49.90304900011538,20.00187052341773,0.5577353763210643
2023-11-15,1101.TW,2023,Q4,33.0,33.15,32.8,33.15,33.15,34592264,34592264,0.15,0.45455,33.03,"November 15, 23",0.0045455,32.285000000000004,32.67485827553678,32.547619047619044,32.50904108239941,32.873556767517584,0.0,50.94055776748793,21.051960479134745,0.5408558033339379
2023-11-14,1101.TW,2023,Q4,32.9,32.9,32.5,32.5,32.5,15965661,15965661,-0.4,-1.22,32.63,"November 14, 23",-0.0122,32.25,32.62484335717223,32.46190476190476,32.39155680428744,32.72697320177588,-34.28571428571437,43.71456193705422,21.906985008315523,0.5052227231627647
2023-11-13,1101.TW,2023,Q4,33.0,33.0,32.6,32.8,32.8,13195125,13195125,-0.2,-0.60606,32.8,"November 13, 23",-0.0060606,32.29750000000001,32.63798476319036,32.44261904761905,32.393283137072665,32.752591450537516,-40.816326530612315,46.73261363191201,22.469229961389296,0.5673347777106563
2023-11-10,1101.TW,2023,Q4,32.9,33.0,32.8,32.85,32.85,10614967,10614967,-0.05,-0.15198,32.88,"November 10, 23",-0.0015198,32.337500000000006,32.62093052773672,32.39857142857143,32.33341660025825,32.68773454009548,-41.17647058823523,47.249109108982175,23.172380700796793,0.6264732635955027
2023-11-09,1101.TW,2023,Q4,33.0,33.1,32.75,32.9,32.9,16293531,16293531,-0.1,-0.30303,32.92,"November 09, 23",-0.0030303,32.385000000000005,32.596817951709006,32.354285714285716,32.25492682425773,32.59216418936817,-44.64285714285719,47.750466796928166,24.139340669757743,0.6957190524917366
2023-11-08,1101.TW,2023,Q4,32.8,33.05,32.65,32.9,32.9,12424527,12424527,0.1,0.30488,32.87,"November 08, 23",0.0030488,32.425,32.5649040518889,32.30904761904762,32.15511048488581,32.45994408045606,-44.64285714285719,47.75046679692818,25.157193268664006,0.7454025757937789
2023-11-07,1101.TW,2023,Q4,32.8,32.8,32.4,32.55,32.55,11873715,11873715,-0.25,-0.7622,32.58,"November 07, 23",-0.007622,32.435,32.529630794193,32.264761904761905,32.04142780454631,32.29993972437509,-57.14285714285725,43.99627719350848,26.168975878507204,0.7530106240950392
2023-11-06,1101.TW,2023,Q4,33.0,33.1,32.75,32.8,32.8,15165942,15165942,-0.2,-0.60606,32.88,"November 06, 23",-0.0060606,32.4475,32.52748666726595,32.255,31.98574976230835,32.21793954786084,-48.214285714285815,46.251312898611566,26.932147487022526,0.7568809351542688
2023-11-03,1101.TW,2023,Q4,32.55,32.95,32.5,32.9,32.9,20980277,20980277,0.35,1.08,32.78,"November 03, 23",0.0108,32.445,32.498801053293946,32.22119047619047,31.871353597000393,32.042273861275085,-44.64285714285719,47.17004173990421,28.09622987654699,0.7557942841805569
2023-11-02,1101.TW,2023,Q4,32.3,32.5,32.25,32.35,32.35,14524194,14524194,0.05,0.1548,32.37,"November 02, 23",0.001548,32.445,32.45656958521962,32.17785714285714,31.72084356018926,31.801476862492883,-64.28571428571425,41.051902243886644,29.14161196186989,0.7557942841805569
2023-11-01,1101.TW,2023,Q4,32.35,32.5,32.0,32.1,32.1,13586208,13586208,-0.25,-0.7728,32.2,"November 01, 23",-0.007728,32.4875,32.46778743629537,32.19095238095238,31.66583441760072,31.688728442272037,-73.2142857142857,37.94884414151055,29.658081399004935,0.7729610274781004
2023-10-31,1101.TW,2023,Q4,32.05,32.35,32.05,32.25,32.25,23637413,23637413,0.2,0.62402,32.22,"October 31, 23",0.0062402,32.5375,32.50650190327383,32.232619047619046,31.65884724432663,31.638449526079206,-67.85714285714288,39.12272512267984,30.201733438094458,0.7786005073206674
2023-10-30,1101.TW,2023,Q4,31.8,32.1,31.75,32.0,32.0,15829556,15829556,0.2,0.62893,31.95,"October 30, 23",0.0062893,32.587500000000006,32.533502103618446,32.264761904761905,31.623620838810893,31.538849386466552,-76.7857142857143,35.98754609865243,30.574162858707524,0.79054965055966
2023-10-27,1101.TW,2023,Q4,31.55,32.0,31.55,31.85,31.85,12726662,12726662,0.3,0.95087,31.8,"October 27, 23",0.0095087,32.64,32.58966021978881,32.325714285714284,31.640160095908726,31.50684647371876,-82.14285714285712,34.0516321507822,30.62239913124347,0.784633672486722
2023-10-26,1101.TW,2023,Q4,31.55,31.6,31.4,31.45,31.45,15778530,15778530,-0.1,-0.31696,31.48,"October 26, 23",-0.0031696,32.697500000000005,32.6675191902929,32.40642857142857,31.695930655455847,31.526495609446812,-96.4285714285715,28.579769906806078,30.532770791955585,0.7665629458824634
2023-10-25,1101.TW,2023,Q4,31.65,31.85,31.5,31.55,31.55,19417650,19417650,-0.1,-0.31596,31.63,"October 25, 23",-0.0031596,32.78,32.79567910506057,32.533095238095235,31.84997800763992,31.688595131046334,-92.85714285714288,29.154279156778756,29.84773256997645,0.7149125820686052
2023-10-24,1101.TW,2023,Q4,31.75,31.75,31.35,31.5,31.5,22314338,22314338,-0.25,-0.7874,31.53,"October 24, 23",-0.007874,32.8775,32.926803221382734,32.65952380952381,32.012678756345224,31.865884840914404,-94.64285714285718,28.471292395923513,29.187719163865488,0.6722118341713427
2023-10-23,1101.TW,2023,Q4,31.7,31.9,31.55,31.65,31.65,13952533,13952533,-0.05,-0.15773,31.7,"October 23, 23",-0.0015773,32.99249999999999,33.07699303415986,32.80166666666666,32.2168347540008,32.10855503235044,-91.2280701754386,29.275651707058117,28.34369488284575,0.6215454528833755
2023-10-20,1101.TW,2023,Q4,31.7,31.9,31.4,31.75,31.75,33260612,33260612,0.05,0.15773,31.68,"October 20, 23",0.0015773,33.1275,33.22720282722932,32.94238095238096,32.426711363280866,32.36670059240423,-89.85507246376808,29.80901470036693,27.56864658659711,0.6083738570977556
2023-10-19,1101.TW,2023,Q4,32.2,32.25,31.7,31.9,31.9,58572705,58572705,-0.3,-0.93168,31.95,"October 19, 23",-0.0093168,33.279999999999994,33.382697861674515,33.08809523809524,32.65343917280826,32.658344253763666,-94.20289855072465,30.60353080953699,26.752806274756438,0.6259792328823695
2023-10-18,1101.TW,2023,Q4,32.65,32.75,32.3,32.45,32.45,82929349,82929349,-0.2,-0.61256,32.5,"October 18, 23",-0.0061256,33.44,33.53877132079815,33.2347619047619,32.888822018543294,32.9735528104212,-94.82758620689637,33.735657342160906,26.062552048158647,0.6607949757678245
2023-10-17,1101.TW,2023,Q4,33.8,33.8,33.3,33.45,33.45,17969504,17969504,-0.35,-1.04,33.52,"October 17, 23",-0.0104,33.572500000000005,33.65337882825059,33.34166666666667,33.04962131742135,33.18946293144885,-69.09090909090904,40.98003341363145,25.714641472699334,0.7126491072049416
2023-10-16,1101.TW,2023,Q4,33.8,33.9,33.6,33.6,33.6,13396338,13396338,-0.2,-0.59172,33.7,"October 16, 23",-0.0059172,33.675000000000004,33.674787125961174,33.36309523809524,33.028884490649965,33.14130115009312,-65.51724137931033,42.27362187590514,26.17662058064679,0.8260599251870291
2023-10-13,1101.TW,2023,Q4,33.9,34.15,33.7,33.8,33.8,18902875,18902875,-0.1,-0.29499,33.88,"October 13, 23",-0.0029499,33.760000000000005,33.68265945500972,33.37833333333334,32.976639397661664,33.04077196764096,-58.62068965517254,44.03428857986055,26.97490020278396,0.8982761268117948
2023-10-12,1101.TW,2023,Q4,33.2,33.8,33.15,33.7,33.7,20215685,20215685,0.5,1.51,33.55,"October 12, 23",0.0151,33.800000000000004,33.67030781869495,33.37833333333333,32.87761822425865,32.86183205398961,-62.06896551724132,42.90474943638936,27.92348781287847,0.9167878707749139
